# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_truncation	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_upstream_gene_variant
IV00_00015035	IV00_00015035	IV00_00015035-RA	protein_coding	2	0	0	28	0	0	0	0	0	0	0	22	0	2	0	0	0	0	0	0	0	0	0	6
IV00_00015037	IV00_00015037	IV00_00015037-RA	protein_coding	2	0	0	35	0	0	0	0	0	0	0	9	0	2	13	0	0	0	1	0	0	0	0	13
IV00_00015039	IV00_00015039	IV00_00015039-RA	protein_coding	3	0	1	41	0	0	0	0	0	1	0	10	0	2	25	0	0	1	2	0	0	0	0	7
IV00_00015041	IV00_00015041	IV00_00015041-RA	protein_coding	3	0	0	46	0	0	0	0	0	0	0	4	0	3	29	0	0	0	0	0	0	0	0	13
IV00_00015295	IV00_00015295	IV00_00015295-RA	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
IV00_00015295	IV00_00015295	IV00_00015295-RB	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
IV00_00015308	IV00_00015308	IV00_00015308-RA	protein_coding	3	0	0	78	0	0	0	0	0	0	0	21	0	3	27	0	0	0	0	0	0	0	0	30
IV00_00015314	IV00_00015314	IV00_00015314-RA	protein_coding	0	1	2	51	0	0	0	0	0	2	0	17	0	0	25	0	0	0	1	0	0	0	0	10
IV00_00015321	IV00_00015321	IV00_00015321-RA	protein_coding	0	0	0	26	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	3
IV00_00015323	IV00_00015323	IV00_00015323-RA	protein_coding	1	0	0	30	0	0	0	0	0	0	0	9	0	1	6	0	0	0	0	0	0	0	0	15
IV00_00015324	IV00_00015324	IV00_00015324-RA	protein_coding	0	0	0	28	1	0	0	0	0	0	0	19	0	0	2	0	0	0	0	0	0	0	0	6
IV00_00015325	IV00_00015325	IV00_00015325-RA	protein_coding	0	0	0	19	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	12
IV00_00015332	IV00_00015332	IV00_00015332-RA	protein_coding	3	2	3	232	0	0	0	0	0	3	0	30	0	3	177	0	0	0	2	0	0	0	0	27
IV00_00015334	IV00_00015334	IV00_00015334-RA	protein_coding	0	1	0	59	0	0	0	0	0	0	0	19	0	0	14	0	0	0	1	0	0	0	0	27
IV00_00015336	IV00_00015336	IV00_00015336-RA	protein_coding	2	1	0	182	0	0	0	0	0	0	0	35	0	2	128	0	0	0	1	0	0	0	0	20
IV00_00015337	IV00_00015337	IV00_00015337-RA	protein_coding	1	0	0	173	0	0	0	0	0	0	0	25	0	1	93	0	0	0	0	0	0	0	0	55
IV00_00015341	IV00_00015341	IV00_00015341-RA	protein_coding	0	3	0	303	0	0	0	0	0	0	0	16	0	0	257	0	0	0	3	0	0	0	0	33
IV00_00015347	IV00_00015347	IV00_00015347-RA	protein_coding	0	0	0	61	0	0	0	0	0	0	0	20	0	0	21	0	0	0	0	0	0	0	0	20
IV00_00015349	IV00_00015349	IV00_00015349-RA	protein_coding	1	0	0	48	0	0	0	0	0	0	0	27	0	1	3	0	0	0	0	0	0	0	0	18
IV00_00015351	IV00_00015351	IV00_00015351-RA	protein_coding	0	0	0	169	0	0	0	0	0	0	0	24	0	0	106	0	0	0	0	0	0	0	0	39
IV00_00015356	IV00_00015356	IV00_00015356-RA	protein_coding	0	0	0	60	0	0	0	0	0	0	0	32	0	0	11	0	0	0	0	0	0	0	0	17
IV00_00015358	IV00_00015358	IV00_00015358-RA	protein_coding	0	0	0	82	0	0	0	0	0	0	0	28	0	0	23	0	0	0	0	0	0	0	0	31
IV00_00015359	IV00_00015359	IV00_00015359-RA	protein_coding	0	0	0	109	0	0	0	0	0	0	0	29	0	0	37	0	0	0	0	0	0	0	0	43
IV00_00015360	IV00_00015360	IV00_00015360-RA	protein_coding	0	0	0	62	0	0	0	0	0	0	0	48	0	0	1	0	0	0	0	0	0	0	0	13
IV00_00015364	IV00_00015364	IV00_00015364-RA	protein_coding	0	0	0	85	0	0	0	0	0	0	0	30	0	0	15	0	0	0	0	0	0	0	0	40
IV00_00015365	IV00_00015365	IV00_00015365-RA	protein_coding	0	0	0	60	0	0	0	0	0	0	0	31	0	0	10	0	0	0	0	0	0	0	0	19
IV00_00015374	IV00_00015374	IV00_00015374-RA	protein_coding	0	0	0	115	0	0	0	0	0	0	0	37	0	0	53	0	0	0	0	0	0	0	0	25
IV00_00015378	IV00_00015378	IV00_00015378-RA	protein_coding	0	0	0	85	0	0	0	0	0	0	0	37	0	0	9	0	0	0	0	0	0	0	0	39
IV00_00015385	IV00_00015385	IV00_00015385-RA	protein_coding	0	1	0	92	0	0	0	0	0	0	0	29	0	0	26	0	0	0	1	0	0	0	0	38
IV00_00015387	IV00_00015387	IV00_00015387-RA	protein_coding	0	0	0	173	3	0	0	0	0	0	0	39	0	0	97	0	0	0	0	0	0	0	0	34
IV00_00015394	IV00_00015394	IV00_00015394-RA	protein_coding	0	1	0	126	0	0	0	0	0	0	0	26	0	0	40	0	0	0	1	0	0	0	0	61
IV00_00015395	IV00_00015395	IV00_00015395-RA	protein_coding	0	0	1	70	0	0	0	0	0	1	0	25	0	0	14	0	0	0	0	0	0	0	0	31
IV00_00015397	IV00_00015397	IV00_00015397-RA	protein_coding	6	1	1	143	3	0	0	0	1	0	0	19	0	6	84	0	0	0	1	0	0	0	0	38
IV00_00015399	IV00_00015399	IV00_00015399-RA	protein_coding	0	0	0	252	1	0	0	0	0	0	0	49	0	0	175	0	0	0	0	0	0	0	0	27
IV00_00015404	IV00_00015404	IV00_00015404-RA	protein_coding	1	1	0	490	6	0	0	0	0	0	0	39	0	1	425	0	0	0	1	0	0	0	0	21
IV00_00015406	IV00_00015406	IV00_00015406-RA	protein_coding	0	1	0	154	0	0	0	0	0	0	0	8	0	0	117	0	0	0	1	0	0	0	0	30
IV00_00018062	IV00_00018062	IV00_00018062-RA	protein_coding	0	1	0	196	0	0	0	0	0	0	0	30	0	0	167	0	0	0	1	0	0	0	0	0
IV00_00018069	IV00_00018069	IV00_00018069-RA	protein_coding	0	0	0	64	0	0	0	0	0	0	0	26	0	0	6	0	0	0	0	0	0	0	0	32
IV00_00018095	IV00_00018095	IV00_00018095-RA	protein_coding	0	0	0	79	0	0	0	0	0	0	0	34	0	0	19	0	0	0	0	0	0	0	0	26
IV00_00018096	IV00_00018096	IV00_00018096-RA	protein_coding	1	0	0	70	0	0	0	0	0	0	0	30	0	1	15	0	0	0	0	0	0	0	0	25
IV00_00018102	IV00_00018102	IV00_00018102-RA	protein_coding	8	0	0	54	0	0	0	0	0	0	0	20	0	8	0	0	0	0	0	0	0	0	0	34
IV00_00018116	IV00_00018116	IV00_00018116-RA	protein_coding	0	0	0	44	0	0	0	0	0	0	0	23	0	0	15	0	0	0	0	0	0	0	0	6
IV00_00018118	IV00_00018118	IV00_00018118-RA	protein_coding	0	1	0	127	0	0	0	0	0	0	0	31	0	0	72	0	0	0	1	0	0	0	0	25
IV00_00018119	IV00_00018119	IV00_00018119-RA	protein_coding	0	1	0	135	0	0	0	0	0	0	0	27	0	0	100	0	0	0	1	0	0	0	0	9
IV00_00018122	IV00_00018122	IV00_00018122-RA	protein_coding	0	0	1	278	0	0	0	1	0	0	0	29	0	0	226	0	0	0	0	0	0	0	0	23
IV00_00018141	IV00_00018141	IV00_00018141-RA	protein_coding	0	0	0	84	0	0	0	0	0	0	0	28	0	0	56	0	0	0	0	0	0	0	0	0
IV00_00018142	IV00_00018142	IV00_00018142-RA	protein_coding	3	0	0	131	2	0	0	0	0	0	0	20	0	3	81	0	0	0	0	0	0	0	0	28
IV00_00018143	IV00_00018143	IV00_00018143-RA	protein_coding	0	0	0	142	1	0	0	0	0	0	0	53	0	0	44	0	0	0	0	0	0	0	0	44
IV00_00018148	IV00_00018148	IV00_00018148-RA	protein_coding	0	0	0	151	0	0	0	0	0	0	0	25	0	0	104	0	0	0	0	0	0	0	0	22
IV00_00018151	IV00_00018151	IV00_00018151-RA	protein_coding	0	0	0	73	0	0	0	0	0	0	0	19	0	0	39	0	0	0	0	0	0	0	0	15
IV00_00018186	IV00_00018186	IV00_00018186-RA	protein_coding	0	0	0	211	0	0	0	0	0	0	0	27	0	0	149	0	0	0	0	0	0	0	0	35
IV00_00018189	IV00_00018189	IV00_00018189-RA	protein_coding	0	1	0	71	0	0	0	0	0	0	0	17	0	0	21	0	0	0	1	0	0	0	0	34
IV00_00018191	IV00_00018191	IV00_00018191-RA	protein_coding	0	0	0	92	0	0	0	0	0	0	0	34	0	0	32	0	0	0	0	0	0	0	0	26
IV00_00018192	IV00_00018192	IV00_00018192-RA	protein_coding	0	1	0	386	0	0	0	0	0	0	0	28	0	0	312	0	0	0	1	0	0	0	0	47
IV00_00018193	IV00_00018193	IV00_00018193-RA	protein_coding	1	0	0	161	4	0	0	0	0	0	0	26	0	1	90	0	0	0	0	0	0	0	0	41
IV00_00018194	IV00_00018194	IV00_00018194-RA	protein_coding	3	1	0	137	6	0	0	0	0	0	0	37	0	3	68	0	0	0	1	0	0	0	0	27
IV00_00018196	IV00_00018196	IV00_00018196-RA	protein_coding	0	3	0	147	2	0	0	0	0	0	0	48	0	0	46	0	0	0	3	0	0	0	0	54
IV00_00018207	IV00_00018207	IV00_00018207-RA	protein_coding	0	0	5	71	0	0	0	0	2	3	0	25	0	0	16	0	0	0	0	0	0	0	0	30
IV00_00018209	IV00_00018209	IV00_00018209-RA	protein_coding	0	0	0	126	5	0	1	0	0	0	0	29	0	0	65	0	0	0	0	0	0	0	0	26
IV00_00018210	IV00_00018210	IV00_00018210-RA	protein_coding	0	0	0	123	0	0	0	0	0	0	0	37	0	0	61	0	0	0	0	0	0	0	0	25
IV00_00018211	IV00_00018211	IV00_00018211-RA	protein_coding	0	0	0	141	10	0	0	0	0	0	0	37	0	0	58	0	0	0	0	0	0	0	0	36
IV00_00018215	IV00_00018215	IV00_00018215-RA	protein_coding	0	0	0	97	0	0	0	0	0	0	0	24	0	0	49	0	0	0	0	0	0	0	0	24
IV00_00018221	IV00_00018221	IV00_00018221-RA	protein_coding	0	0	0	121	0	0	0	0	0	0	0	34	0	0	87	0	0	0	0	0	0	0	0	0
IV00_00018222	IV00_00018222	IV00_00018222-RA	protein_coding	0	0	0	99	0	0	0	0	0	0	0	26	0	0	60	0	0	0	0	0	0	0	0	13
IV00_00018240	IV00_00018240	IV00_00018240-RA	protein_coding	0	0	0	67	0	0	0	0	0	0	0	15	0	0	23	0	0	0	0	0	0	0	0	29
IV00_00020937	IV00_00020937	IV00_00020937-RA	protein_coding	2	0	0	56	0	0	0	0	0	0	0	34	0	2	0	0	0	0	0	0	0	0	0	22
IV00_00020941	IV00_00020941	IV00_00020941-RA	protein_coding	4	0	0	52	4	0	0	0	0	0	0	18	0	4	11	0	0	0	0	0	0	0	0	19
IV00_00020942	IV00_00020942	IV00_00020942-RA	protein_coding	5	0	0	107	0	0	0	0	0	0	0	27	0	5	35	0	0	0	0	0	0	1	0	45
IV00_00020945	IV00_00020945	IV00_00020945-RA	protein_coding	1	0	0	89	4	0	0	0	0	0	0	40	0	1	19	0	0	0	0	0	0	0	0	26
IV00_00020946	IV00_00020946	IV00_00020946-RA	protein_coding	8	0	2	100	0	0	0	1	0	0	1	20	0	8	54	0	0	0	1	0	1	0	0	26
IV00_00020947	IV00_00020947	IV00_00020947-RA	protein_coding	7	1	3	156	0	0	0	0	0	3	0	26	0	7	114	0	0	1	2	0	0	0	0	18
IV00_00020948	IV00_00020948	IV00_00020948-RA	protein_coding	1	0	0	99	0	0	0	0	0	0	0	24	0	1	36	0	0	0	0	0	0	0	0	39
IV00_00020950	IV00_00020950	IV00_00020950-RA	protein_coding	1	0	0	30	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	18
IV00_00020951	IV00_00020951	IV00_00020951-RA	protein_coding	4	0	2	34	0	0	0	1	0	1	0	15	0	4	0	0	0	0	0	0	0	0	0	19
IV00_00020952	IV00_00020952	IV00_00020952-RA	protein_coding	0	0	0	45	0	0	0	0	0	0	0	12	0	0	10	0	0	0	0	0	0	0	0	23
IV00_00020953	IV00_00020953	IV00_00020953-RA	protein_coding	0	0	0	69	0	0	0	0	0	0	0	19	0	0	26	0	0	0	0	0	0	0	0	24
IV00_00020955	IV00_00020955	IV00_00020955-RA	protein_coding	6	0	0	69	0	0	0	0	0	0	0	19	0	6	26	0	0	0	0	0	0	0	0	24
IV00_00020958	IV00_00020958	IV00_00020958-RA	protein_coding	2	1	1	54	1	0	0	1	0	0	0	17	0	2	32	0	0	0	2	0	1	0	0	5
IV00_00020960	IV00_00020960	IV00_00020960-RA	protein_coding	0	0	0	50	0	0	0	0	0	0	0	9	0	0	29	0	0	0	0	0	0	0	0	12
IV00_00020962	IV00_00020962	IV00_00020962-RA	protein_coding	0	0	0	145	0	0	0	0	0	0	0	24	0	0	115	0	0	0	0	0	0	0	0	6
IV00_00020966	IV00_00020966	IV00_00020966-RA	protein_coding	0	0	0	51	0	0	0	0	0	0	0	20	0	0	11	0	0	0	0	0	0	0	0	20
IV00_00020968	IV00_00020968	IV00_00020968-RA	protein_coding	0	0	0	69	0	0	0	0	0	0	0	14	0	0	36	0	0	0	0	0	0	0	0	19
IV00_00020970	IV00_00020970	IV00_00020970-RA	protein_coding	0	0	0	117	0	0	0	0	0	0	0	9	0	0	91	0	0	0	0	0	0	0	0	17
IV00_00020978	IV00_00020978	IV00_00020978-RA	protein_coding	0	0	0	120	0	0	0	0	0	0	0	12	0	0	83	0	0	0	0	0	0	0	0	25
IV00_00023138	IV00_00023138	IV00_00023138-RA	protein_coding	7	0	1	97	0	0	0	0	0	1	0	0	0	6	74	0	1	1	3	0	0	0	0	25
IV00_00023141	IV00_00023141	IV00_00023141-RA	protein_coding	0	0	0	12	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	5
IV00_00023149	IV00_00023149	IV00_00023149-RA	protein_coding	0	0	0	49	0	0	0	0	0	0	0	21	0	0	18	0	0	0	0	0	0	0	0	10
IV00_00026228	IV00_00026228	IV00_00026228-RA	protein_coding	0	0	2	345	0	0	0	1	0	1	0	42	0	0	256	0	0	0	0	0	0	0	0	47
IV00_00026231	IV00_00026231	IV00_00026231-RA	protein_coding	0	0	0	159	12	0	0	0	0	0	0	24	0	0	89	0	0	0	0	0	0	0	0	34
IV00_00026236	IV00_00026236	IV00_00026236-RA	protein_coding	1	0	0	166	0	0	0	0	0	0	0	21	0	1	122	0	0	0	0	0	0	0	0	23
IV00_00026237	IV00_00026237	IV00_00026237-RA	protein_coding	0	0	0	123	5	0	0	0	0	0	0	56	0	0	19	0	0	0	0	0	0	0	0	43
IV00_00026239	IV00_00026239	IV00_00026239-RA	protein_coding	0	9	0	205	0	0	0	0	0	0	0	61	0	0	125	0	0	0	9	0	0	0	0	28
IV00_00026241	IV00_00026241	IV00_00026241-RA	protein_coding	0	0	0	116	0	0	0	0	0	0	0	27	0	0	73	0	0	0	0	0	0	0	0	16
IV00_00026242	IV00_00026242	IV00_00026242-RA	protein_coding	0	0	0	47	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	20
IV00_00026373	IV00_00026373	IV00_00026373-RA	protein_coding	0	0	0	57	0	0	0	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0	0	19
IV00_00028266	IV00_00028266	IV00_00028266-RA	protein_coding	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
IV00_00028271	IV00_00028271	IV00_00028271-RA	protein_coding	1	0	1	23	0	0	0	0	1	0	0	5	0	1	3	0	0	0	0	0	0	0	0	15
IV00_00028272	IV00_00028272	IV00_00028272-RA	protein_coding	0	0	0	13	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	5
IV00_00028273	IV00_00028273	IV00_00028273-RA	protein_coding	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2
IV00_00028274	IV00_00028274	IV00_00028274-RA	protein_coding	0	0	0	17	0	0	0	0	0	0	0	2	0	0	13	0	0	0	0	0	0	0	0	2
IV00_00028276	IV00_00028276	IV00_00028276-RA	protein_coding	0	0	0	15	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	10
IV00_00028278	IV00_00028278	IV00_00028278-RA	protein_coding	0	0	0	22	1	0	0	0	0	0	0	6	0	0	15	0	0	0	0	0	0	0	0	0
IV00_00028280	IV00_00028280	IV00_00028280-RA	protein_coding	0	0	0	13	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	4
IV00_00028280	IV00_00028280	IV00_00028280-RB	protein_coding	0	0	0	13	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	4
IV00_00028281	IV00_00028281	IV00_00028281-RA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
IV00_00028282	IV00_00028282	IV00_00028282-RA	protein_coding	0	0	0	12	0	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	1
IV00_00028284	IV00_00028284	IV00_00028284-RA	protein_coding	0	0	0	10	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	3
